name_long,y16,y17
Colombian Milds,1437,1272
Other Milds,1590,1734
Brazilian Naturals,3383,3054
Robustas,3520,2959
Angola,0,0
Bolivia,3,4
Brazil,3277,2786
Burundi,37,38
Cameroon,8,6
Central African Republic,0,0
"Congo, Dem. Rep. of",4,12
Colombia,1330,1169
Costa Rica,28,32
Côte d'Ivoire,114,130
Cuba,0,0
Dominican Republic,1,0
Ecuador,87,62
El Salvador,5,8
Ethiopia,215,283
Gabon,0,0
Ghana,1,1
Guatemala,58,70
Honduras,149,165
India,453,566
Indonesia,742,360
Jamaica,0,1
Kenya,60,50
Liberia,0,0
Madagascar,3,5
Malawi,3,1
Mexico,151,220
Nepal,0,0
Nicaragua,42,45
Panama,3,3
Papua New Guinea,114,74
Paraguay,0,0
Peru,585,625
Philippines,2,0
Rwanda,36,42
Sierra Leone,1,3
Tanzania,81,66
Thailand,39,16
Timor-Leste,14,2
Togo,2,3
Uganda,408,443
Venezuela,0,0
Vietnam,1844,1700
Yemen,4,1
Zambia,3,0
Zimbabwe,1,1
Others,23,26
Note: Group sub-totals take into account the corresponding share of each type of coffee exported by countries that produce and,NA,NA
"export both Arabica and Robusta in significant volumes. It should be noted that, where applicable, an Arabica/Robusta ratio of",NA,NA
50/50 has been used to convert processed coffee into Green Bean Equivalent (GBE),NA,NA
"A figure of 0 in the table can mean a volume of less than 500 bags, due to rounding. Full data in Excel format are available to paid",NA,NA
subscribers,NA,NA
Next update: 31 January 2018,NA,NA
 International Coffee Organization,NA,NA
