package,published,title,depends_count,suggests_count,tidyverse_happy,has_vignette_build,has_tests,reverse_count,dl_last_month,ci,test_coverage,forks,stars,watchers,last_commit,last_issue_closed,contributors
cartography,2017-11-13,Thematic Cartography,3,4,FALSE,TRUE,FALSE,0,964,Travis,NONE,15,92,11,NA,0.43333333333333335,5
cartogram,2016-09-28,Create Cartograms with R,NA,2,FALSE,FALSE,FALSE,0,2079,Travis,NONE,5,33,4,NA,1.7333333333333334,2
ggplot2,2016-12-30,Create Elegant Data Visualisations Using the Grammar of Graphics,1,15,TRUE,TRUE,TRUE,1219,484625,"Travis, Appveyor",CodeCov,1162,3030,310,NA,0.03333333333333333,140
globe,2017-05-12,"Plot 2D and 3D Views of the Earth, Including Major Coastline",3,NA,NA,FALSE,FALSE,0,158,Not on GitHub,Not on GitHub,NA,NA,NA,NA,NA,NA
leaflet,2017-02-21,"Create Interactive Web Maps with the JavaScript 'Leaflet'
Library",1,10,TRUE,FALSE,TRUE,32,22603,Travis,NONE,293,453,92,NA,0.1,18
maps,2018-04-03,Draw Geographical Maps,1,4,FALSE,FALSE,FALSE,57,75745,Not on GitHub,Not on GitHub,NA,NA,NA,NA,NA,NA
mapmisc,2018-02-05,Utilities for Producing Maps,3,7,FALSE,TRUE,FALSE,0,383,Not on GitHub,Not on GitHub,NA,NA,NA,NA,NA,NA
mapview,2018-01-30,Interactive Viewing of Spatial Data in R,2,5,FALSE,FALSE,TRUE,4,9581,Travis,CodeCov,29,151,33,NA,0.03333333333333333,8
plotly,2017-07-29,Create Interactive Web Graphics via 'plotly.js',2,18,TRUE,FALSE,TRUE,61,66758,Travis,NONE,441,1188,113,NA,0.03333333333333333,24
raster,2017-11-13,Geographic Data Analysis and Modeling,3,8,FALSE,FALSE,FALSE,238,50017,Not on GitHub,Not on GitHub,NA,NA,NA,NA,NA,NA
rasterVis,2018-04-05,Visualization Methods for Raster Data,4,4,FALSE,FALSE,FALSE,10,8363,Travis,NONE,12,35,6,NA,1.8666666666666667,2
rworldmap,2016-02-03,Mapping Global Data,2,4,FALSE,FALSE,FALSE,9,5330,Travis,NONE,5,12,3,NA,23.033333333333335,2
sf,2018-03-22,Simple Features for R,2,21,TRUE,TRUE,TRUE,46,30302,"Travis, Appveyor",CodeCov,80,314,61,NA,0.03333333333333333,36
tmap,2018-02-13,Thematic Maps,2,7,FALSE,TRUE,FALSE,1,7787,"Travis, Appveyor",CodeCov,38,207,18,NA,0.1,14
