"Name","Title","version"
"bookdown","Authoring Books and Technical Documents with R Markdown [@R-bookdown]","0.6"
"dismo","Species Distribution Modeling [@R-dismo]","1.1.4"
"ggmap","Spatial Visualization with ggplot2 [@R-ggmap]","2.6.1"
"gstat","Spatial and Spatio-Temporal Geostatistical Modelling, Prediction [@R-gstat]","1.1.5"
"htmlwidgets","HTML Widgets for R [@R-htmlwidgets]","1.0"
"kableExtra","Construct Complex Table with 'kable' and Pipe Syntax [@R-kableExtra]","0.7.0"
"knitr","A General-Purpose Package for Dynamic Report Generation in R [@R-knitr]","1.19"
"leaflet","Create Interactive Web Maps with the JavaScript 'Leaflet' [@R-leaflet]","1.1.0"
"link2GI","Linking Geographic Information Systems, Remote Sensing and Other [@R-link2GI]","0.2.0"
"lwgeom","Bindings to Selected 'liblwgeom' Functions for Simple Features [@R-lwgeom]","0.1.4"
"mapview","Interactive Viewing of Spatial Data in R [@R-mapview]","2.3.0"
"microbenchmark","Accurate Timing Functions [@R-microbenchmark]","1.4.4"
"osmdata","Import 'OpenStreetMap' Data as Simple Features or Spatial [@R-osmdata]","0.0.5"
"raster","Geographic Data Analysis and Modeling [@R-raster]","2.6.7"
"rgdal","Bindings for the 'Geospatial' Data Abstraction Library [@R-rgdal]","1.2.16"
"rgeos","Interface to Geometry Engine - Open Source ('GEOS') [@R-rgeos]","0.3.26"
"rmapshaper","Client for 'mapshaper' for 'Geospatial' Operations [@R-rmapshaper]","0.3.1"
"rmarkdown","Dynamic Documents for R [@R-rmarkdown]","1.8"
"rnaturalearth","World Map Data from Natural Earth [@R-rnaturalearth]","0.1.0"
"rnaturalearthdata","World Vector Map Data from Natural Earth Used in 'rnaturalearth' [@R-rnaturalearthdata]","0.1.0"
"RQGIS","Integrating R with QGIS [@R-RQGIS]","1.0.3"
"RSAGA","SAGA Geoprocessing and Terrain Analysis in R [@R-RSAGA]","0.94.5"
"sf","Simple Features for R [@R-sf]","0.6.1"
"sp","Classes and Methods for Spatial Data [@R-sp]","1.2.7"
"spData","Datasets for Spatial Analysis [@R-spData]","0.2.7.3"
"spDataLarge","Large datasets for spatial analysis [@R-spDataLarge]","0.2.5.0"
"stars","Scalable, Spatiotemporal Tidy Arrays for R [@R-stars]","0.1.0"
"stplanr","Sustainable Transport Planning [@R-stplanr]","0.2.2.9999"
"tabularaster","Tidy Tools for 'Raster' Data [@R-tabularaster]","0.4.0"
"tidyverse","Easily Install and Load the 'Tidyverse' [@R-tidyverse]","1.2.1"
"tmap","Thematic Maps [@R-tmap]","1.11"
