package,Downloads,date
ggplot2,16858,2018-08-06
plotly,2096,2018-08-06
spData,1483,2018-08-06
raster,1465,2018-08-06
leaflet,856,2018-08-06
spdep,611,2018-08-06
tmap,289,2018-08-06
ggformula,272,2018-08-06
mapview,271,2018-08-06
tmaptools,216,2018-08-06
lwgeom,204,2018-08-06
geojsonio,203,2018-08-06
ggiraph,130,2018-08-06
rmapshaper,127,2018-08-06
tigris,91,2018-08-06
cartogram,75,2018-08-06
fasterize,67,2018-08-06
rnaturalearth,65,2018-08-06
osmdata,59,2018-08-06
eurostat,54,2018-08-06
googlePolylines,52,2018-08-06
nngeo,39,2018-08-06
cartography,35,2018-08-06
spatialEco,34,2018-08-06
ggspatial,32,2018-08-06
reproducible,29,2018-08-06
tidycensus,29,2018-08-06
mapedit,26,2018-08-06
stplanr,24,2018-08-06
velox,24,2018-08-06
mapsapi,22,2018-08-06
MODIStsp,21,2018-08-06
spbabel,20,2018-08-06
concaveman,14,2018-08-06
MODIS,14,2018-08-06
RQGIS,14,2018-08-06
tidyRSS,13,2018-08-06
ipumsr,12,2018-08-06
geogrid,11,2018-08-06
link2GI,10,2018-08-06
rcartocolor,10,2018-08-06
SpaDES.core,10,2018-08-06
tabularaster,10,2018-08-06
USAboundaries,10,2018-08-06
FedData,9,2018-08-06
quickmapr,9,2018-08-06
crawl,8,2018-08-06
DeclareDesign,7,2018-08-06
jpmesh,7,2018-08-06
cdcfluview,6,2018-08-06
GSODR,6,2018-08-06
jpndistrict,6,2018-08-06
NLMR,6,2018-08-06
adklakedata,5,2018-08-06
bcmaps,5,2018-08-06
brazilmaps,5,2018-08-06
btb,5,2018-08-06
cancensus,5,2018-08-06
mudata2,5,2018-08-06
NipponMap,5,2018-08-06
echor,4,2018-08-06
eixport,4,2018-08-06
GWSDAT,4,2018-08-06
hydrolinks,4,2018-08-06
kokudosuuchi,4,2018-08-06
LAGOSNE,4,2018-08-06
lutz,4,2018-08-06
NetLogoR,4,2018-08-06
openSTARS,4,2018-08-06
rmapzen,4,2018-08-06
smoothr,4,2018-08-06
statesRcontiguous,4,2018-08-06
tilegramsR,4,2018-08-06
cyclestreets,3,2018-08-06
EmissV,3,2018-08-06
landsepi,3,2018-08-06
linemap,3,2018-08-06
opensensmapr,3,2018-08-06
Orcs,3,2018-08-06
parlitools,3,2018-08-06
RCzechia,3,2018-08-06
rgeopat2,3,2018-08-06
rpostgisLT,3,2018-08-06
sabre,3,2018-08-06
sfdct,3,2018-08-06
swmmr,3,2018-08-06
uavRmp,3,2018-08-06
vein,3,2018-08-06
nlaR,2,2018-08-06
stars,2,2018-08-06
wunderscraper,2,2018-08-06
tidytransit,0,2018-08-06
