n_words,chapter,date,n_pages
934,1,2017-04-15,3.1133333333333333
114,2,2017-04-15,0.38
623,3,2017-04-15,2.0766666666666667
486,4,2017-04-15,1.62
0,5,2017-04-15,0
1023,1,2017-04-29,3.41
254,2,2017-04-29,0.8466666666666667
824,3,2017-04-29,2.7466666666666666
548,4,2017-04-29,1.8266666666666667
47,5,2017-04-29,0.15666666666666668
24,6,2017-04-29,0.08
2958,1,2017-05-07,9.86
1089,2,2017-05-07,3.63
254,3,2017-05-07,0.8466666666666667
824,4,2017-05-07,2.7466666666666666
548,5,2017-05-07,1.8266666666666667
47,6,2017-05-07,0.15666666666666668
2960,1,2017-05-10,9.866666666666667
1091,2,2017-05-10,3.6366666666666667
254,3,2017-05-10,0.8466666666666667
824,4,2017-05-10,2.7466666666666666
548,5,2017-05-10,1.8266666666666667
47,6,2017-05-10,0.15666666666666668
1091,1,2017-05-11,3.6366666666666667
254,2,2017-05-11,0.8466666666666667
824,3,2017-05-11,2.7466666666666666
547,4,2017-05-11,1.8233333333333333
47,5,2017-05-11,0.15666666666666668
24,6,2017-05-11,0.08
1334,1,2017-05-17,NA
255,2,2017-05-17,NA
822,3,2017-05-17,NA
547,4,2017-05-17,NA
47,5,2017-05-17,NA
24,6,2017-05-17,NA
1558,1,2017-05-18,NA
929,2,2017-05-18,NA
11,3,2017-05-18,NA
547,4,2017-05-18,NA
862,5,2017-05-18,NA
47,6,2017-05-18,NA
1021,1,2017-05-19,NA
707,2,2017-05-19,NA
929,3,2017-05-19,NA
11,4,2017-05-19,NA
862,5,2017-05-19,NA
24,6,2017-05-19,NA
1056,1,2017-05-25,NA
1470,2,2017-05-25,NA
899,3,2017-05-25,NA
121,4,2017-05-25,NA
885,5,2017-05-25,NA
235,6,2017-05-25,NA
1058,1,2017-05-31,NA
1671,2,2017-05-31,NA
899,3,2017-05-31,NA
121,4,2017-05-31,NA
1192,5,2017-05-31,NA
235,6,2017-05-31,NA
1058,1,2017-06-08,NA
1887,2,2017-06-08,NA
2761,3,2017-06-08,NA
815,4,2017-06-08,NA
1192,5,2017-06-08,NA
235,6,2017-06-08,NA
1299,1,2017-06-16,NA
2565,2,2017-06-16,NA
3126,3,2017-06-16,NA
1224,4,2017-06-16,NA
1192,5,2017-06-16,NA
211,6,2017-06-16,NA
1377,1,2017-06-22,NA
4397,2,2017-06-22,NA
3126,3,2017-06-22,NA
1224,4,2017-06-22,NA
1192,5,2017-06-22,NA
211,6,2017-06-22,NA
2903,1,2017-06-29,NA
4933,2,2017-06-29,NA
3126,3,2017-06-29,NA
1224,4,2017-06-29,NA
1333,5,2017-06-29,NA
211,6,2017-06-29,NA
2934,1,2017-07-08,NA
4928,2,2017-07-08,NA
3126,3,2017-07-08,NA
1224,4,2017-07-08,NA
1333,5,2017-07-08,NA
211,6,2017-07-08,NA
3456,1,2017-07-15,NA
5381,2,2017-07-15,NA
3300,3,2017-07-15,NA
1659,4,2017-07-15,NA
1333,5,2017-07-15,NA
211,6,2017-07-15,NA
3421,1,2017-07-23,NA
5381,2,2017-07-23,NA
3964,3,2017-07-23,NA
2158,4,2017-07-23,NA
1333,5,2017-07-23,NA
211,6,2017-07-23,NA
3418,1,2017-08-01,NA
5841,2,2017-08-01,NA
3996,3,2017-08-01,NA
2158,4,2017-08-01,NA
1333,5,2017-08-01,NA
211,6,2017-08-01,NA
